,,,,,,,,,,,,,,,,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - PRÁCTICA,1,25,206,CHACHI ROJAS AYALA(L),2,,,,16-18,,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - TEORÍA,2,25,206,ERICH VÍCTOR MANRIQUE  CASTILLO(T),3,,,,,16-19,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - PRÁCTICA,2,25,206,ERICH VÍCTOR MANRIQUE CASTILLO (L),2,,16-18,,,,
,2018,Ciclo 5,O,CFO501,OPTICA - TEORÍA,U,25,215,MOISÉS GARCÍA SANIVAÑEZ  (T),4,,8-10,,8-10,8-10,
,2018,Ciclo 5,O,CFO501,OPTICA - PRÁCTICA,U,25,215,MOISÉS GARCIA SANTIVAÑEZ  (P),2,,,,,,
,2018,Ciclo 5,O,CFO501,OPTICA - LABORATORIO,U,25,215,MOISÉS GARCÍA SANTIVAÑEZ  (L),2,11-13,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - TEORÍA,1,25,215,ROBERT MARINO ESPINOZA BERNANDO (T),3,8-11,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - PRÁCTICA,1,25,215,ROBERT MARINO ESPINOZA BERNARDO (P),2,,,8-10,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - TEORÍA,2,25,215,RICHARD SAÚL TORIBIO SAAVEDRA (T),3,14-17,,,,,
,2018,Ciclo 5,O,CFO504,FÍSICA MATEMATICA III - PRÁCTICA,2,25,215,RICHAR SAÚL TORIBIO SAAVEDRA (P),2,,,14-16,,,
,2018,Ciclo 5,O,CFO503,MECANICA CLASICA II - TEORÍA,U,25,215,FULGENCIO VILLEGAS SILVA (T),3,,10-13,,,,
,2018,Ciclo 5,O,CFO503,MECANICA CLASICA II - PRÁCTICA,U,25,215,FULGENCIO VILLEGAS SILVA (P),2,,,,10-12,,
,2018,Ciclo 5,O,CFO505,FISICA MODERNA I - TEORÍA,U,25,215,STHY FLORES DAORTA (T),3,,16-19,,,,
,2018,Ciclo 5,O,CFO505,FISICA MODERNA I - PRÁCTICA,U,25,215,STHY FLORES DAORTA  (P),2,,,,,16-18,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - TEORÍA,1,25,206,JUSTO ROJAS TAPIA (T),2,,,10-12,,,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - LABORATORIO,1,25,206,JUSTO ROJAS TAPIA  (L),4,,,12-13,,10-13,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - TEORÍA,2,25,206,ERICH MANRIQUE CASTILLO (T),2,,14-16,,,,
,2018,Ciclo 5,O,CFO502,FÍSICA COMPUTACIONAL II - LABORATORIO,2,25,206,ERICH MANRIQUE CASTILLO   (L),4,,,,14-16,14-16,
,2018,Ciclo 7,O,CFO701,ELECTROMAGNETISMO II - TEORÍA,U,25,313,FULGENCIO VILLEGAS SILVA (T),4,,14-17,,14-15,,
,2018,Ciclo 7,O,CFO701,ELECTROMAGNETISMO II - PRÁCTICA,U,25,313,FULGENCIO VILLEGAS SILVA  (P),2,,,,15-17,,
,2018,Ciclo 7,O,CFO702,FISICA ELECTRONICA II - TEORÍA,U,25,111,GILBERTO YACTAYO YACTAYO  (T),2,17-19,,,,,
,2018,Ciclo 7,O,CFO702,FISICA ELECTRONICA II - LABORATORIO,U,25,111,GILBERTO YACTAYO YACTAYO  (L),4,,,17-21,,,
,2018,Ciclo 7,O,CFO703,MECANICA CUANTICA II - TEORÍA,U,25,217,PABLO HÉCTOR RIVERA RIOFANO (T),4,,,14-15,,14-17,
,2018,Ciclo 7,O,CFO703,MECANICA CUANTICA II - PRÁCTICA,U,25,217,PABLO HÉCTOR RIVERA RIOFANO (P),2,,,15-17,,,
,2018,Ciclo 7,O,CFO704,FISICA ESTADISTICA I - TEORÍA,U,25,217,ROBERT GUZMÁN ARELLANO(T),3,,17-20,,,,
,2018,Ciclo 7,O,CFO704,FISICA ESTADISTICA I - PRÁCTICA,U,25,217,ROBERT GUZMÁN ARELLANO (P),2,,,,17-19,,
,2018,Ciclo 7,O,CFO705,REDACCION Y METODOLOGIA CIENTIFICA - TEORÍA,U,25,111,CESAR JIMENEZ TINTAYA (T),2,,,,08-10,,
,2018,Ciclo 7,O,CFO705,REDACCION Y METODOLOGIA CIENTIFICA - PRÁCTICA,U,25,111,CESAR JIMENEZ TINTAYA (P),2,08-10,,,,,
,2018,Ciclo 9,O,CFO701,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - TEORÍA,U,25,313,CHACHI ROJAS AYALA (T),2,19-21,,,,,
,2018,Ciclo 9,O,CFO701,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - PRÁCTICA,U,25,315,CHACHI ROJAS AYALA (P),2,,,,,   18-20,
,2018,Ciclo 9,O,CFO702,TRABAJO DE GRADO I - TEORÍA,U,25,313,WHAULKUER ENRIQUE LOZANO BARTRA (T),3,10-13,,,,,
,2018,Ciclo 9,O,CFO702,TRABAJO DE GRADO I - PRÁCTICA,U,25,313,WHUARKUER ENRIQUE LOZANO BARTRA (P),4,,,10-14,,,
,2018,Ciclo 9,O,CFO703,FILOSOFIA E HISTORIA DE LA CIENCIA - TEORÍA,U,25,315,JAIME FRANCISCO VENTO FLORES(T),3,,18-21,,,,
,2018,Ciclo 9,O,CFO703,FILOSOFIA E HISTORIA DE LA CIENCIA - TEORÍA,U,25,315,JAIME FRANCISCO VENTO FLORES(T),0,,,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE907A,ESPECTROSCOPIA DE RAYOS X - TEORÍA,U,25,Laboratorio,ELVIRA LETICIA ZEBALLOS VELÁSQUEZ (T) ,2,,8-10,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE907A,ESPECTROSCOPIA DE RAYOS X - PRÁCTICA,U,25,Laboratorio,ELVIRA LETICIA ZEBALLOS VELÁSQUE (P),2,,,,8-10,,
,2018,Ciclo 9 Electivos Area A,E,CFE907A,ESPECTROSCOPIA DE RAYOS X - LABORATORIO,U,25,Laboratorio,ELVIRA LE TICIA ZEBALLOS VELASQUEZ(L),2,,,,,8-10,
,2018,Ciclo 9 Electivos Area A,E,CFE911A,TÓPICOS AVANZADOS DE MATERIA CONDENSADA I  - TEORÍA,1,25,313,JAIME FRANCISCO VENTO FLORES(T),3,,11-14,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE911A,TÓPICOS AVANZADOS DE MATERIA CONDENSADA I  - PRÁCTICA,1,25,313,JAIME FRANCISCO VENTO FLORES(T),2,,,,11-13,,
,2018,Ciclo 9 Electivos Area A,E,CFE911A,TÓPICOS AVANZADOS DE MATERIA CONDENSADA I  - TEORÍA,2,25,111,VÍCTOR ANTONIO PEÑA RODRÍGUEZ (T),3,,16-19,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE911A,TÓPICOS AVANZADOS DE MATERIA CONDENSADA I  - PRÁCTICA,2,25,111,VÍCTOR ANTONIO PEÑA RODRÍGUEZ (P),2,,,,16-18,,
,2018,Ciclo 9 Electivos Area A,E,CFE909A,FÍSICA DEL ESTADO SÓLIDO II - TEORÍA,U,25,111,CARLOS VLADIMIR LANDAURO SÁENZ  (T),3,14-17,,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE909A,FÍSICA DEL ESTADO SÓLIDO II - PRÁCTICA,U,25,111,CARLOS VLADIMIR LANDAURO SÁENZ  (P),2,,,14-16,,,
,2018,Ciclo 9 Electivos Area A,E,CFE910A,FÍSICA NUCLEAR II - TEORÍA,U,25,109,JORGE AURELIO BRAVO CABREJOS (T),2,11-13,,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE910A,FÍSICA NUCLEAR II - PRÁCTICA,U,25,109,JORGE AURELIO BRAVO CABREJOS (P),2,,,11-13,,,
,2018,Ciclo 9 Electivos Area A,E,CFE910A,FÍSICA NUCLEAR II - LABORATORIO,U,25,109,JORGE AURELIO BRAVO CABREJOS  (L),2,,,,,10-12,
,2018,Ciclo 9 Electivos Area A,E,CFE108A,TRANSFORMACION DE FASES - TEORÍA,U,25,109,FELIPE AMÉRICO REYES NAVARRO (T),3,,16-19,,,,
,2018,Ciclo 9 Electivos Area A,E,CFE108A,TRANSFORMACION DE FASES - PRÁCTICA,U,25,109,FELIPE AMÉRICO REYES NAVARRO (P),2,,,,17-19,,
,2018,Ciclo 9 Electivos Area A,E,CFE905A,OPTICA FISICA - TEORÍA,U,25,215,RENATO TOVAR LANDEO  (T),3,,,,14-17,,
,2018,Ciclo 9 Electivos Area A,E,CFE905A,OPTICA FISICA - PRÁCTICA,U,25,215,RENATO TOVAR LANDEO  (P),2,,14-16,,,,
,2018,Ciclo 9 Electivos Area B,E,CFE909B,FÍSICA NUCLEAR II - TEORÍA,U,25,109,JORGE ENRIQUE BRAVO CABREJOS  (T),2,11-13,,,,,
,2018,Ciclo 9 Electivos Area B,E,CFE909B,FÍSICA NUCLEAR II - PRÁCTICA,U,25,109,JORGE ENRIQUE BRAVO CABREJOS (P),2,,,11-13,,,
,2018,Ciclo 9 Electivos Area B,E,CFE909B,FÍSICA NUCLEAR II - LABORATORIO,U,25,109,JORGE ENRIQUE BRAVO CABREJOS  (L),2,,,,,10-12,
,2018,Ciclo 9 Electivos Area B,E,CFE911B,TÓPICOS AVANZADOS I  - TEORÍA,1,25,217,JORGE ENRIQUE BRAVO CABREJOS  (T),3,,10-13,,,,
,2018,Ciclo 9 Electivos Area B,E,CFE911B,TÓPICOS AVANZADOS I  - PRÁCTICA,1,25,217,JORGE ENRIQUE BRAVO CABREJOS (P),2,,,,10-12,,
,2018,Ciclo 9 Electivos Area B,E,CFE911B,TÓPICOS AVANZADOS I  - TEORÍA,2,25,217,MÁXIMO HILARIO POMA TORRES  (T),3,8-11,,,,,
,2018,Ciclo 9 Electivos Area B,E,CFE911B,TÓPICOS AVANZADOS I  - PRÁCTICA,2,25,217,MÁXIMO HILARIO POMA TORRES (P),2,,,8-10,,,
,2018,Ciclo 9 Electivos Area B,E,CFE104B,FÍSICA DE ALTAS ENERGÍAS  - TEORÍA,U,25,315,CARLOS SOLANO SALINAS (T),3,16-19,,,,,
,2018,Ciclo 9 Electivos Area B,E,CFE104B,FÍSICA DE ALTAS ENERGÍAS  - PRÁCTICA,U,25,315, CARLOS SOLANO SALINAS (P),2,,,16-18,,,
,2018,Ciclo 9 Electivos Area B,E,CFE910B,FÍSICA MEDICA - TEORÍA,U,25,217,NAVOR FIGUEROA JAMANCA  (T),3,,,,,,8-11
,2018,Ciclo 9 Electivos Area B,E,CFE910B,FÍSICA MEDICA - PRÁCTICA,U,25,217,NAVOR FIGUEROA JAMANCA  (P),2,,,,,,11-13
,2018,Ciclo 9 Electivos Area B,E,CFE905B,OPTICA FISICA - TEORÍA,U,25,215,RENATO TOVAR LANDEO  (T),3,,,,14-17,,
,2018,Ciclo 9 Electivos Area B,E,CFE905B,OPTICA FISICA - PRÁCTICA,U,25,215,RENATO TOVAR LANDEO  (P),2,,14-16,,,,
,2018,Ciclo 9 Electivos Area C,E,CFE104C,DINAMICA DE FLUIDOS  GEOFÍSICOS - TEORÍA,U,25,315,JORGE QUISPE SÁNCHEZ (T),3,,,,,,9-12
,2018,Ciclo 9 Electivos Area C,E,CFE104C,DINAMICA DE FLUIDOS  GEOFÍSICOS - PRÁCTICA,U,25,315,JORGE QUISPE SÁNCHEZ (P),2,,,,17-19,,
,2018,Ciclo 9 Electivos Area C,E,CFE913C,TÓPICOS AVANZADOS I - TEORÍA,1,25,109,JOEL ROJAS ACUÑA  (T),3,,10-13,,,,
,2018,Ciclo 9 Electivos Area C,E,CFE913C,TÓPICOS AVANZADOS I - PRÁCTICA,1,25,109,JOEL ROJAS ACUÑA  (P),2,,,,10-12,,
,2018,Ciclo 9 Electivos Area C,E,CFE913C,TÓPICOS AVANZADOS I - TEORÍA,2,25,215,JUAN NEIL MENDOZA NOLORBE  (T),3,,,,,,14-17
,2018,Ciclo 9 Electivos Area C,E,CFE913C,TÓPICOS AVANZADOS I - PRÁCTICA,2,25,215,JUAN NEIL MENDOZA NOLORBE  (P),2,,,,,19-21,
,2018,Ciclo 9 Electivos Area C,E,CFE914C,FÍSICA DE PLASMAS ASTROFÍSICOS - TEORÍA,U,25,315,WALTER GUEVARA DAY (T),3,,14-17,,,,
,2018,Ciclo 9 Electivos Area C,E,CFE914C,FÍSICA DE PLASMAS ASTROFÍSICOS - PRÁCTICA,U,25,315,WALTER GUEVARA DAY  (P),2,,,,14-16,,
,2018,Ciclo 9 Electivos Area C,E,CFE105C,CLIMATOLOGÍA - TEORÍA,U,25,Lab. Geofisica,MIGUEL SAAVEDRA JUAN DE DIOS (T),3,,,,,8-11,
,2018,Ciclo 9 Electivos Area C,E,CFE105C,CLIMATOLOGÍA - PRÁCTICA,U,25,Lab. Geofisica,MIGUEL SAAVEDRA JUAN DE DIOS (P),2,9-11,,,,,
,2018,Ciclo 9 Electivos Area C,E,CFE112C,GEOFÍSICA APLICADA - TEORÍA,U,25,111,ROLANDO  WILDER ADRIANO PEÑA (T),3,11-13,,11-12,,,
,2018,Ciclo 9 Electivos Area C,E,CFE112C,GEOFÍSICA APLICADA - PRÁCTICA,U,25,111,ROLANDO WILDER  ADRIANO PEÑA (P),2,,,,,11-13,
,2018,Ciclo 2,O,CBO204,CÁLCULO II - TEORÍA,U,40,313,,3,16-19,,,,,
,2018,Ciclo 2,O,CBO204,CÁLCULO II - PRÁCTICA,U,40,313,,2,,,,,16-18,
,2018,Ciclo 2,O,CBO207,FÍSICA GENERAL II - TEORÍA,U,40,115,"Melchor Nicolás, Llosa Demartini (T)",3,,,14-17,,,
,2018,Ciclo 2,O,CBO207,FÍSICA GENERAL II - PRÁCTICA,U,40,115,"Melchor Nicolás, Llosa Demartini (P)",2,,,,,14-16,
,2018,Ciclo 4,O,CFO401,Electricidad y Magnetismo - TEORÍA,U,25,115,Gustaco Cuba Supanta (T),4,8-10,,8-10,,,
,2018,Ciclo 4,O,CFO401,Electricidad y Magnetismo - PRÁCTICA,U,25,115,Gustaco Cuba Supanta (P),2,,,,,8-10,
,2018,Ciclo 4,O,CFO401,Electricidad y Magnetismo - LABORATORIO,U,25,115,Gustaco Cuba Supanta (L),2,,,,12-14,,
,2018,Ciclo 4,O,CFO405,Mecánica clásica I  - TEORÍA,U,25,?,,3,,10-13,,,,
,2018,Ciclo 4,O,CFO405,Mecánica clásica I  - PRÁCTICA,U,25,?,,2,,,,10-12,,
,2018,Ciclo 4,O,CFO406,Física Matemática II    - PRÁCTICA,U,25,217,EDWARD SAMUEL QUIJADA ORELLANA (T),3,,,,14-16,,
,2018,Ciclo 4,O,CFO406,Física Matemática II    - TEORÍA,U,25,217,EDWARD SAMUEL QUIJADA ORELLANA (P),2,,14-17,,,,
,2018,Ciclo 4,O,CFO407,Estadística y Probabilidad - TEORÍA,U,25,?,,3,16-19,,,,,
,2018,Ciclo 4,O,CFO407,Estadística y Probabilidad - PRÁCTICA,U,25,?,,2,,,16-18,,,
,2018,Ciclo 6,O,CFO603,Mecánica cuántica I - TEORÍA,U,25,?,,4,14-16,,14-16,,,
,2018,Ciclo 6,O,CFO603,Mecánica cuántica I - PRÁCTICA,U,25,?,,2,,,,,14-16,
,2018,Ciclo 6,O,CFO605,Física Moderna II - TEORÍA,U,25,115,JESÚS SÁNCHEZ ORTIZ (T),3,,,,,10-13,
,2018,Ciclo 6,O,CFO605,Física Moderna II - PRÁCTICA,U,25,115,JESÚS SÁNCHEZ ORTIZ (P),2,,11-13,,,,
,2018,Ciclo 8,O,CFO801,Metodología de la Enseñanza en Física  - TEORÍA,U,25,109,JULIO FABIÁN SALVADOR (T),2,,,,8-10,,
,2018,Ciclo 8,O,CFO801,Metodología de la Enseñanza en Física  - PRÁCTICA,U,25,109,JULIO FABIÁN SALVADOR (P),2,,,,,,10-12
,2018,Ciclo 8,O,CFO803,Física nuclear I - TEORÍA,U,25,?,,4,,10-13,,,10-11,
,2018,Ciclo 8,O,CFO803,Física nuclear I - PRÁCTICA,U,25,?,,2,,,,,11-13,
,2018,Ciclo 8,O,CFO804,Geofísica General  - TEORÍA,U,25,?,,3,14-17,,,,,
,2018,Ciclo 8,O,CFO804,Geofísica General  - PRÁCTICA,U,25,?,,2,,,14-16,,,
,2018,Ciclo 8,O,CFO802,Física del estado sólido I - TEORÍA,U,25,?,,4,8-10,,8-10,,,
,2018,Ciclo 8,O,CFO802,Física del estado sólido I - PRÁCTICA,U,25,?,,2,,,,,8-10,
,2018,Ciclo 10,O,CFO1002,Trabajo de Grado II - TEORÍA,U,25,217,MARÍA LUISA CERÓN LOAYZA (T),3,14-17,,,,,
,2018,Ciclo 10,O,CFO1002,Trabajo de Grado II - PRÁCTICA,U,25,315,MARÍA LUISA CERÓN LOAYZA (P),4,,,14-16,,14-16,
,2018,Ciclo 10 Electivos Area B,E,CFE107B,Dosimetría de las radiaciones - TEORÍA,U,25,virtual,OSCAR BALTUANO ELÍAS (T),3,,,,16-19,,
,2018,Ciclo 10 Electivos Area B,E,CFE107B,Dosimetría de las radiaciones - PRÁCTICA,U,25,215,OSCAR BALTUANO ELÍAS (P),2,17-19,,,,,
,2018,Ciclo 10 Electivos Area B,E,CFE903B,Teoria General de la relatividad - TEORÍA,U,25,321-GPT,TEÓFILO VARGAS AUCCALLA (T),3,13-16,,14-16,,,
,2018,Ciclo 10 Electivos Area B,E,CFE903B,Teoria General de la relatividad - PRÁCTICA,U,25,321-GPT,TEÓFILO VARGAS AUCCALLA (P),2,,,,,,
,2018,Ciclo 10 Electivos Area C,E,CFE903C,Teoria General de la relatividad - TEORÍA,1,20,321-GPT,TEÓFILO VARGAS AUCCALLA (T),3,13-16,,14-16,,,
,2018,Ciclo 10 Electivos Area C,E,CFE903C,Teoria General de la relatividad - PRÁCTICA,1,20,321-GPT,TEÓFILO VARGAS AUCCALLA (P),2,,,,,,
,2018,Ciclo 10 Electivos Area C,E,CFE106C,Tópicos Avanzados de Astronomía y Astrofísica I - TEORÍA,1,25,222,TEÓFILO VARGAS AUCCALLA (T),3,16-19,,16-18,,,
,2018,Ciclo 10 Electivos Area C,E,CFE106C,Tópicos Avanzados de Astronomía y Astrofísica I - PRÁCTICA,1,25,222,TEÓFILO VARGAS AUCCALLA (P),2,,,,,,